,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
10469,PARP1,P09874,reviewed,PARP1_HUMAN,"Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]",PARP1 ADPRT PPOL,Homo sapiens (Human),1014
10476,PARVA,Q9NVD7,reviewed,PARVA_HUMAN,Alpha-parvin (Actopaxin) (CH-ILKBP) (Calponin-like integrin-linked kinase-binding protein) (Matrix-remodeling-associated protein 2),PARVA MXRA2,Homo sapiens (Human),372
10478,PAX1,P15863,reviewed,PAX1_HUMAN,Paired box protein Pax-1 (HuP48),PAX1 HUP48,Homo sapiens (Human),534
10480,PCGF1,Q9BSM1,reviewed,PCGF1_HUMAN,Polycomb group RING finger protein 1 (Nervous system Polycomb-1) (NSPc1) (RING finger protein 68),PCGF1 NSPC1 RNF68,Homo sapiens (Human),259
10481,PCNX1,Q96RV3,reviewed,PCX1_HUMAN,Pecanex-like protein 1 (Pecanex homolog protein 1),PCNX1 KIAA0805 KIAA0995 PCNX PCNXL1,Homo sapiens (Human),2341
10485,PCSK1,P29120,reviewed,NEC1_HUMAN,Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1),PCSK1 NEC1,Homo sapiens (Human),753
10488,PDE1A,P54750,reviewed,PDE1A_HUMAN,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A (Cam-PDE 1A) (EC 3.1.4.17) (61 kDa Cam-PDE) (hCam-1)",PDE1A,Homo sapiens (Human),535
10496,PDIA2,Q13087,reviewed,PDIA2_HUMAN,Protein disulfide-isomerase A2 (EC 5.3.4.1) (Pancreas-specific protein disulfide isomerase) (PDIp),PDIA2 PDIP,Homo sapiens (Human),525
10501,PDZD3,Q86UT5,reviewed,NHRF4_HUMAN,Na(+)/H(+) exchange regulatory cofactor NHE-RF4 (NHERF-4) (Intestinal and kidney-enriched PDZ protein) (Natrium-phosphate cotransporter IIa C-terminal-associated protein 2) (Na/Pi cotransporter C-terminal-associated protein 2) (NaPi-Cap2) (PDZ domain-containing protein 2) (PDZ domain-containing protein 3) (Sodium-hydrogen exchanger regulatory factor 4),NHERF4 IKEPP PDZD3 PDZK2 DLNB27,Homo sapiens (Human),571
10503,PEAK1,Q9H792,reviewed,PEAK1_HUMAN,Inactive tyrosine-protein kinase PEAK1 (Pseudopodium-enriched atypical kinase 1) (Sugen kinase 269) (Tyrosine-protein kinase SgK269),PEAK1 KIAA2002,Homo sapiens (Human),1746
10507,PELI1,Q96FA3,reviewed,PELI1_HUMAN,E3 ubiquitin-protein ligase pellino homolog 1 (Pellino-1) (EC 2.3.2.27) (Pellino-related intracellular-signaling molecule) (RING-type E3 ubiquitin transferase pellino homolog 1),PELI1 PRISM,Homo sapiens (Human),418
10509,PFKM,P08237,reviewed,PFKAM_HUMAN,"ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)",PFKM PFKX,Homo sapiens (Human),780
10533,PFN1,P07737,reviewed,PROF1_HUMAN,Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I),PFN1,Homo sapiens (Human),140
10536,PGAM1,P18669,reviewed,PGAM1_HUMAN,Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B),PGAM1 PGAMA CDABP0006,Homo sapiens (Human),254
10541,PGLYRP1,O75594,reviewed,PGRP1_HUMAN,Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S),PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269,Homo sapiens (Human),196
10542,PHACTR1,Q9C0D0,reviewed,PHAR1_HUMAN,Phosphatase and actin regulator 1,PHACTR1 KIAA1733 RPEL1,Homo sapiens (Human),580
10551,PITPNA,Q00169,reviewed,PIPNA_HUMAN,Phosphatidylinositol transfer protein alpha isoform (PI-TP-alpha) (PtdIns transfer protein alpha) (PtdInsTP alpha),PITPNA PITPN,Homo sapiens (Human),270
10561,PLEKHA1,Q9HB21,reviewed,PKHA1_HUMAN,Pleckstrin homology domain-containing family A member 1 (PH domain-containing family A member 1) (Tandem PH domain-containing protein 1) (TAPP-1),PLEKHA1 TAPP1,Homo sapiens (Human),404
10564,PLIN1,O60240,reviewed,PLIN1_HUMAN,Perilipin-1 (Lipid droplet-associated protein),PLIN1 PERI PLIN,Homo sapiens (Human),522
10566,PLK1,P53350,reviewed,PLK1_HUMAN,Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13),PLK1 PLK,Homo sapiens (Human),603
10570,PLOD1,Q02809,reviewed,PLOD1_HUMAN,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",PLOD1 LLH PLOD,Homo sapiens (Human),727
10573,PLS1,Q14651,reviewed,PLSI_HUMAN,Plastin-1 (Intestine-specific plastin) (I-plastin),PLS1,Homo sapiens (Human),629
10581,PLSCR1,O15162,reviewed,PLS1_HUMAN,Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (Mg(2+)-dependent nuclease) (EC 3.1.-.-) (MmTRA1b),PLSCR1,Homo sapiens (Human),318
10589,PLXNA1,Q9UIW2,reviewed,PLXA1_HUMAN,Plexin-A1 (Semaphorin receptor NOV),PLXNA1 NOV PLXN1,Homo sapiens (Human),1896
10591,PNPLA1,Q8N8W4,reviewed,PLPL1_HUMAN,Omega-hydroxyceramide transacylase (EC 2.3.1.296) (Patatin-like phospholipase domain-containing protein 1),PNPLA1,Homo sapiens (Human),532
10594,POLR1A,O95602,reviewed,RPA1_HUMAN,DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1) (EC 2.7.7.6) (A190) (DNA-directed RNA polymerase I largest subunit) (DNA-directed RNA polymerase I subunit A) (RNA polymerase I 194 kDa subunit) (RPA194),POLR1A,Homo sapiens (Human),1720
10600,PON1,P27169,reviewed,PON1_HUMAN,Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1),PON1 PON,Homo sapiens (Human),355
10608,PPP1R12A,O14974,reviewed,MYPT1_HUMAN,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit),PPP1R12A MBS MYPT1,Homo sapiens (Human),1030
10619,PRB1,P04280,reviewed,PRP1_HUMAN,Basic salivary proline-rich protein 1 (Salivary proline-rich protein) [Cleaved into: Proline-rich peptide II-2; Basic peptide IB-6; Peptide P-H],PRB1,Homo sapiens (Human),392
10629,PRDX1,Q06830,reviewed,PRDX1_HUMAN,Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1),PRDX1 PAGA PAGB TDPX2,Homo sapiens (Human),199
10632,PRELID1,Q9Y255,reviewed,PRLD1_HUMAN,"PRELI domain-containing protein 1, mitochondrial (25 kDa protein of relevant evolutionary and lymphoid interest) (Px19-like protein)",PRELID1 PRELI CGI-106 SBBI12,Homo sapiens (Human),219
10636,PRICKLE1,Q96MT3,reviewed,PRIC1_HUMAN,Prickle-like protein 1 (REST/NRSF-interacting LIM domain protein 1),PRICKLE1 RILP,Homo sapiens (Human),831
10641,PROK1,P58294,reviewed,PROK1_HUMAN,Prokineticin-1 (Endocrine-gland-derived vascular endothelial growth factor) (EG-VEGF) (Mambakine),PROK1 UNQ600/PRO1186,Homo sapiens (Human),105
10642,PROM1,O43490,reviewed,PROM1_HUMAN,Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133),PROM1 PROML1 MSTP061,Homo sapiens (Human),865
10649,PRRT2,Q7Z6L0,reviewed,PRRT2_HUMAN,Proline-rich transmembrane protein 2 (Dispanin subfamily B member 3) (DSPB3),PRRT2,Homo sapiens (Human),340
10659,PRSS1,P07477,reviewed,TRY1_HUMAN,Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2],PRSS1 TRP1 TRY1 TRYP1,Homo sapiens (Human),247
10678,PSMA1,P25786,reviewed,PSA1_HUMAN,Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain) (Proteasome subunit alpha-6) (alpha-6),PSMA1 HC2 NU PROS30 PSC2,Homo sapiens (Human),263
10681,PTAR1,Q7Z6K3,reviewed,PTAR1_HUMAN,Protein prenyltransferase alpha subunit repeat-containing protein 1,PTAR1,Homo sapiens (Human),402
10685,PTCD1,O75127,reviewed,PTCD1_HUMAN,"Pentatricopeptide repeat-containing protein 1, mitochondrial",PTCD1 KIAA0632,Homo sapiens (Human),700
10692,PTGS1,P23219,reviewed,PGH1_HUMAN,Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1),PTGS1 COX1,Homo sapiens (Human),599
10698,PTRF,Q6NZI2,reviewed,CAVN1_HUMAN,Caveolae-associated protein 1 (Cavin-1) (Polymerase I and transcript release factor),CAVIN1 PTRF FKSG13,Homo sapiens (Human),390
10699,RAMP1,O60894,reviewed,RAMP1_HUMAN,Receptor activity-modifying protein 1 (Calcitonin-receptor-like receptor activity-modifying protein 1) (CRLR activity-modifying protein 1),RAMP1,Homo sapiens (Human),148
10703,RASGRP1,O95267,reviewed,GRP1_HUMAN,RAS guanyl-releasing protein 1 (Calcium and DAG-regulated guanine nucleotide exchange factor II) (CalDAG-GEFII) (Ras guanyl-releasing protein),RASGRP1 RASGRP,Homo sapiens (Human),797
10714,RASSF1,Q9NS23,reviewed,RASF1_HUMAN,Ras association domain-containing protein 1,RASSF1 RDA32,Homo sapiens (Human),344
10717,RBFOX1,Q9NWB1,reviewed,RFOX1_HUMAN,RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A) (Hexaribonucleotide-binding protein 1),RBFOX1 A2BP A2BP1 FOX1 HRNBP1,Homo sapiens (Human),397
10739,RBM3,P98179,reviewed,RBM3_HUMAN,RNA-binding protein 3 (RNA-binding motif protein 3) (RNPL),RBM3 RNPL,Homo sapiens (Human),157
10742,RFX1,P22670,reviewed,RFX1_HUMAN,MHC class II regulatory factor RFX1 (Enhancer factor C) (EF-C) (Regulatory factor X 1) (RFX) (Transcription factor RFX1),RFX1,Homo sapiens (Human),979
10744,RGS1,Q08116,reviewed,RGS1_HUMAN,Regulator of G-protein signaling 1 (RGS1) (B-cell activation protein BL34) (Early response protein 1R20),RGS1 1R20 BL34 IER1,Homo sapiens (Human),209
10745,RHBDF1,Q96CC6,reviewed,RHDF1_HUMAN,Inactive rhomboid protein 1 (iRhom1) (Epidermal growth factor receptor-related protein) (Rhomboid 5 homolog 1) (Rhomboid family member 1) (p100hRho),RHBDF1 C16orf8 DIST1 IRHOM1,Homo sapiens (Human),855
10754,RIGI,O95786,reviewed,RIGI_HUMAN,Antiviral innate immune response receptor RIG-I (ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (RNA sensor RIG-I) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),RIGI DDX58,Homo sapiens (Human),925
10762,RPUSD1,Q9UJJ7,reviewed,RUSD1_HUMAN,RNA pseudouridylate synthase domain-containing protein 1 (Ribosomal large subunit pseudouridine synthase C-like protein),RPUSD1 C16orf40 RLUCL,Homo sapiens (Human),312
10772,RTN1,Q16799,reviewed,RTN1_HUMAN,Reticulon-1 (Neuroendocrine-specific protein),RTN1 NSP,Homo sapiens (Human),776
10777,RTP1,P59025,reviewed,RTP1_HUMAN,Receptor-transporting protein 1 (3CxxC-type zinc finger protein 1),RTP1 Z3CXXC1,Homo sapiens (Human),263
10778,SAGE1,Q9NXZ1,reviewed,SAGE1_HUMAN,Sarcoma antigen 1 (Cancer/testis antigen 14) (CT14),SAGE1 SAGE,Homo sapiens (Human),904
10780,SAMD1,Q6SPF0,reviewed,SAMD1_HUMAN,Sterile alpha motif domain-containing protein 1 (SAM domain-containing protein 1) (Atherin),SAMD1,Homo sapiens (Human),538
10783,SASH1,O94885,reviewed,SASH1_HUMAN,SAM and SH3 domain-containing protein 1 (Proline-glutamate repeat-containing protein),SASH1 KIAA0790 PEPE1,Homo sapiens (Human),1247
10789,SCG2,O00255,reviewed,MEN1_HUMAN,Menin,MEN1 SCG2,Homo sapiens (Human),610
10793,SCGB1A1,P11684,reviewed,UTER_HUMAN,Uteroglobin (Club cell phospholipid-binding protein) (CCPBP) (Club cells 10 kDa secretory protein) (CC10) (Secretoglobin family 1A member 1) (Urinary protein 1) (UP-1) (UP1) (Urine protein 1),SCGB1A1 CC10 CCSP UGB,Homo sapiens (Human),91
10797,SCYL1,Q96KG9,reviewed,SCYL1_HUMAN,N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase),SCYL1 CVAK90 GKLP NTKL TAPK TEIF TRAP HT019,Homo sapiens (Human),808
10803,SELE,P16581,reviewed,LYAM2_HUMAN,E-selectin (CD62 antigen-like family member E) (Endothelial leukocyte adhesion molecule 1) (ELAM-1) (Leukocyte-endothelial cell adhesion molecule 2) (LECAM2) (CD antigen CD62E),SELE ELAM1,Homo sapiens (Human),610
10809,SEMA3A,Q14563,reviewed,SEM3A_HUMAN,Semaphorin-3A (Semaphorin III) (Sema III),SEMA3A SEMAD,Homo sapiens (Human),771
10815,SEPTIN1,Q8WYJ6,reviewed,SEPT1_HUMAN,Septin-1 (LARP) (Peanut-like protein 3) (Serologically defined breast cancer antigen NY-BR-24),SEPTIN1 DIFF6 PNUTL3 SEPT1,Homo sapiens (Human),372
10818,SERPINA1,P01009,reviewed,A1AT_HUMAN,Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)],SERPINA1 AAT PI PRO0684 PRO2209,Homo sapiens (Human),418
10830,SESN1,Q9Y6P5,reviewed,SESN1_HUMAN,Sestrin-1 (EC 1.11.1.-) (p53-regulated protein PA26),SESN1 PA26 SEST1,Homo sapiens (Human),492
10831,SFRP1,Q8N474,reviewed,SFRP1_HUMAN,Secreted frizzled-related protein 1 (FRP-1) (sFRP-1) (Secreted apoptosis-related protein 2) (SARP-2),SFRP1 FRP FRP1 SARP2,Homo sapiens (Human),314
10834,SHC1,P29353,reviewed,SHC1_HUMAN,SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1),SHC1 SHC SHCA,Homo sapiens (Human),583
10841,SHISA2,Q6UWI4,reviewed,SHSA2_HUMAN,Protein shisa-2 homolog (Transmembrane protein 46),SHISA2 C13orf13 TMEM46 UNQ9166/PRO28631,Homo sapiens (Human),295
10842,SHMT1,P34896,reviewed,GLYC_HUMAN,"Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)",SHMT1,Homo sapiens (Human),483
10845,SHROOM1,Q2M3G4,reviewed,SHRM1_HUMAN,Protein Shroom1 (Apical protein 2),SHROOM1 APXL2 KIAA1960,Homo sapiens (Human),852
10848,SKI,P12755,reviewed,SKI_HUMAN,Ski oncogene (Proto-oncogene c-Ski),SKI,Homo sapiens (Human),728
10852,SLFN5,Q08AF3,reviewed,SLFN5_HUMAN,Schlafen family member 5,SLFN5,Homo sapiens (Human),891
10855,SLITRK1,Q96PX8,reviewed,SLIK1_HUMAN,SLIT and NTRK-like protein 1 (Leucine-rich repeat-containing protein 12),SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266,Homo sapiens (Human),696
10856,SMAD1,Q15797,reviewed,SMAD1_HUMAN,Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (JV4-1) (Mad-related protein 1) (SMAD family member 1) (SMAD 1) (Smad1) (hSMAD1) (Transforming growth factor-beta-signaling protein 1) (BSP-1),SMAD1 BSP1 MADH1 MADR1,Homo sapiens (Human),465
10863,SMARCA2,P51531,reviewed,SMCA2_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2 (SAMRCA2) (EC 3.6.4.-) (BRG1-associated factor 190B) (BAF190B) (Probable global transcription activator SNF2L2) (Protein brahma homolog) (hBRM) (SNF2-alpha),SMARCA2 BAF190B BRM SNF2A SNF2L2,Homo sapiens (Human),1590
10906,SMC1A,Q14683,reviewed,SMC1A_HUMAN,Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8),SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1,Homo sapiens (Human),1233
10914,SNCA,P37840,reviewed,SYUA_HUMAN,Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP),SNCA NACP PARK1,Homo sapiens (Human),140
10923,SNX1,Q13596,reviewed,SNX1_HUMAN,Sorting nexin-1,SNX1,Homo sapiens (Human),522
10931,SOCS1,O15524,reviewed,SOCS1_HUMAN,Suppressor of cytokine signaling 1 (SOCS-1) (JAK-binding protein) (JAB) (STAT-induced STAT inhibitor 1) (SSI-1) (Tec-interacting protein 3) (TIP-3),SOCS1 SSI1 TIP3,Homo sapiens (Human),211
10933,SOX1,O00570,reviewed,SOX1_HUMAN,Transcription factor SOX-1,SOX1,Homo sapiens (Human),391
10934,SPANXA1,Q9NS26,reviewed,SPNXA_HUMAN,Sperm protein associated with the nucleus on the X chromosome A (Cancer/testis antigen 11.1) (CT11.1) (Nuclear-associated protein SPAN-Xa) (SPAN-X) (SPANX-A) (SPANX family member A),SPANXA1 SPANXA; SPANXA2,Homo sapiens (Human),97
10935,SPDYA,Q5MJ70,reviewed,SPDYA_HUMAN,Speedy protein A (Rapid inducer of G2/M progression in oocytes A) (RINGO A) (hSpy/Ringo A) (Speedy-1) (Spy1),SPDYA SPDY1 SPY1,Homo sapiens (Human),313
10938,SPHK1,Q9NYA1,reviewed,SPHK1_HUMAN,Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91) (Acetyltransferase SPHK1) (EC 2.3.1.-),SPHK1 SK1 SPHK SPK,Homo sapiens (Human),384
10943,SPIN1,Q9H2V7,reviewed,SPNS1_HUMAN,Protein spinster homolog 1 (HSpin1) (SPNS1) (Spinster-like protein 1),SPNS1 SPIN1 PP20300,Homo sapiens (Human),528
10946,SPINK1,P00995,reviewed,ISK1_HUMAN,Serine protease inhibitor Kazal-type 1 (Pancreatic secretory trypsin inhibitor) (Tumor-associated trypsin inhibitor) (TATI),SPINK1 PSTI,Homo sapiens (Human),79
10950,SPRED1,Q7Z699,reviewed,SPRE1_HUMAN,"Sprouty-related, EVH1 domain-containing protein 1 (Spred-1) (hSpred1)",SPRED1,Homo sapiens (Human),444
10953,SPRY1,O43609,reviewed,SPY1_HUMAN,Protein sprouty homolog 1 (Spry-1),SPRY1,Homo sapiens (Human),319
10958,SPSB1,Q96BD6,reviewed,SPSB1_HUMAN,SPRY domain-containing SOCS box protein 1 (SSB-1),SPSB1 SSB1,Homo sapiens (Human),273
10960,SPTBN1,Q01082,reviewed,SPTB2_HUMAN,"Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)",SPTBN1 SPTB2,Homo sapiens (Human),2364
10967,SRD5A1,P18405,reviewed,S5A1_HUMAN,3-oxo-5-alpha-steroid 4-dehydrogenase 1 (EC 1.3.1.22) (SR type 1) (Steroid 5-alpha-reductase 1) (S5AR 1),SRD5A1,Homo sapiens (Human),259
10971,SRSF1,Q07955,reviewed,SRSF1_HUMAN,"Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)",SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3,Homo sapiens (Human),248
10977,STAC2,Q6ZMT1,reviewed,STAC2_HUMAN,SH3 and cysteine-rich domain-containing protein 2 (24b2/STAC2) (Src homology 3 and cysteine-rich domain-containing protein 2),STAC2,Homo sapiens (Human),411
10980,STARD3,Q14849,reviewed,STAR3_HUMAN,StAR-related lipid transfer protein 3 (Metastatic lymph node gene 64 protein) (MLN 64) (Protein CAB1) (START domain-containing protein 3) (StARD3),STARD3 CAB1 MLN64,Homo sapiens (Human),445
10991,STMN1,P16949,reviewed,STMN1_HUMAN,Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17),STMN1 C1orf215 LAP18 OP18,Homo sapiens (Human),149
10995,SYN1,P17600,reviewed,SYN1_HUMAN,Synapsin-1 (Brain protein 4.1) (Synapsin I),SYN1,Homo sapiens (Human),705
10998,SYNE1,Q8NF91,reviewed,SYNE1_HUMAN,Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1),SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1,Homo sapiens (Human),8797
11034,TAFA1,Q7Z5A9,reviewed,TAFA1_HUMAN,Chemokine-like protein TAFA-1,TAFA1 FAM19A1,Homo sapiens (Human),133
11035,TBX1,O43435,reviewed,TBX1_HUMAN,T-box transcription factor TBX1 (T-box protein 1) (Testis-specific T-box protein),TBX1,Homo sapiens (Human),398
11041,TCF7,P36402,reviewed,TCF7_HUMAN,Transcription factor 7 (TCF-7) (T-cell-specific transcription factor 1) (T-cell factor 1) (TCF-1),TCF7 TCF1,Homo sapiens (Human),384
11053,TDRD1,Q9BXT4,reviewed,TDRD1_HUMAN,Tudor domain-containing protein 1 (Cancer/testis antigen 41.1) (CT41.1),TDRD1,Homo sapiens (Human),1180
11056,TEAD1,P28347,reviewed,TEAD1_HUMAN,Transcriptional enhancer factor TEF-1 (NTEF-1) (Protein GT-IIC) (TEA domain family member 1) (TEAD-1) (Transcription factor 13) (TCF-13),TEAD1 TCF13 TEF1,Homo sapiens (Human),426
11061,TEKT1,Q969V4,reviewed,TEKT1_HUMAN,Tektin-1,TEKT1,Homo sapiens (Human),418
11065,TENM1,Q9UKZ4,reviewed,TEN1_HUMAN,Teneurin-1 (Ten-1) (Protein Odd Oz/ten-m homolog 1) (Tenascin-M1) (Ten-m1) (Teneurin transmembrane protein 1) [Cleaved into: Ten-1 intracellular domain (IDten-1) (Ten-1 ICD); Teneurin C-terminal-associated peptide (TCPA-1) (Ten-1 extracellular domain) (Ten-1 ECD)],TENM1 ODZ1 TNM1,Homo sapiens (Human),2725
11067,TFAP2A,P05549,reviewed,AP2A_HUMAN,Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2),TFAP2A AP2TF TFAP2,Homo sapiens (Human),437
11076,TFDP1,Q14186,reviewed,TFDP1_HUMAN,Transcription factor Dp-1 (DRTF1-polypeptide 1) (DRTF1) (E2F dimerization partner 1),TFDP1 DP1,Homo sapiens (Human),410
11080,TGM1,P22735,reviewed,TGM1_HUMAN,Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1),TGM1 KTG,Homo sapiens (Human),817
11089,TIMP1,P01033,reviewed,TIMP1_HUMAN,Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1),TIMP1 CLGI TIMP,Homo sapiens (Human),207
11096,TIRAP,P58753,reviewed,TIRAP_HUMAN,Toll/interleukin-1 receptor domain-containing adapter protein (TIR domain-containing adapter protein) (Adaptor protein Wyatt) (MyD88 adapter-like protein) (MyD88-2),TIRAP MAL,Homo sapiens (Human),221
11099,TMBIM1,Q969X1,reviewed,LFG3_HUMAN,Protein lifeguard 3 (Protein RECS1 homolog) (Transmembrane BAX inhibitor motif-containing protein 1),TMBIM1 LFG3 RECS1 PP1201 PSEC0158,Homo sapiens (Human),311
11115,TMC1,Q8TDI8,reviewed,TMC1_HUMAN,Transmembrane channel-like protein 1 (Transmembrane cochlear-expressed protein 1),TMC1,Homo sapiens (Human),760
11126,TMCC1,O94876,reviewed,TMCC1_HUMAN,Transmembrane and coiled-coil domains protein 1,TMCC1 KIAA0779,Homo sapiens (Human),653
11133,TMEM14A,Q9Y6G1,reviewed,TM14A_HUMAN,Transmembrane protein 14A,TMEM14A C6orf73 PTD011,Homo sapiens (Human),99
11135,TMEM8B,A6NDV4,reviewed,TMM8B_HUMAN,Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6),TMEM8B C9orf127 NGX6,Homo sapiens (Human),472
11137,TMOD1,P28289,reviewed,TMOD1_HUMAN,Tropomodulin-1 (Erythrocyte tropomodulin) (E-Tmod),TMOD1 D9S57E TMOD,Homo sapiens (Human),359
11138,TNFRSF1A,P19438,reviewed,TNR1A_HUMAN,"Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]",TNFRSF1A TNFAR TNFR1,Homo sapiens (Human),455
11149,TNRC6A,Q8NDV7,reviewed,TNR6A_HUMAN,Trinucleotide repeat-containing gene 6A protein (CAG repeat protein 26) (EMSY interactor protein) (GW182 autoantigen) (Protein GW1) (Glycine-tryptophan protein of 182 kDa),TNRC6A CAGH26 KIAA1460 TNRC6,Homo sapiens (Human),1962
